transaction_id,account_id,transaction_date,amount,transaction_type,branch_id,description
T344057,A86557,2024-01-31,749.97,debit,B1,Transaction Description
T955752,A41255,2024-01-31,602.65,credit,B6,Transaction Description
T408547,A85539,2024-01-31,404.29,debit,B8,Transaction Description
T840450,A17730,2024-01-31,630.66,debit,B6,Transaction Description
T468473,A69246,2024-01-31,443.54,credit,B10,Transaction Description
T307770,A53203,2024-01-31,318.12,debit,B10,Transaction Description
T194795,A53900,2024-01-31,656.64,debit,B8,Transaction Description
T573141,A54054,2024-01-31,456.33,credit,B6,Transaction Description
T907643,A34227,2024-01-31,627.56,credit,B7,Transaction Description
T400747,A33623,2024-01-31,813.51,debit,B4,Transaction Description
T766249,A44101,2024-01-31,377.97,debit,B10,Transaction Description
T654948,A76736,2024-01-31,966.1,debit,B2,Transaction Description
T262918,A93687,2024-01-31,962.99,debit,B4,Transaction Description
T604280,A49213,2024-01-31,528.35,debit,B7,Transaction Description
T409589,A84965,2024-01-31,436.78,debit,B9,Transaction Description
T835479,A36140,2024-01-31,753.17,debit,B10,Transaction Description
T718945,A63207,2024-01-31,476.67,credit,B8,Transaction Description
T512864,A41486,2024-01-31,652.18,debit,B4,Transaction Description
T109719,A59564,2024-01-31,483.32,credit,B5,Transaction Description
T987646,A21346,2024-01-31,192.3,debit,B10,Transaction Description
T541013,A43452,2024-01-31,367.46,credit,B5,Transaction Description
T399169,A79696,2024-01-31,803.87,debit,B10,Transaction Description
T534314,A98316,2024-01-31,947.0,credit,B1,Transaction Description
T692377,A27009,2024-01-31,500.01,credit,B8,Transaction Description
T958804,A29531,2024-01-31,378.35,debit,B6,Transaction Description
T374612,A92687,2024-01-31,576.03,credit,B10,Transaction Description
T932355,A76322,2024-01-31,441.08,credit,B10,Transaction Description
T720431,A33100,2024-01-31,549.07,debit,B4,Transaction Description
T505914,A24107,2024-01-31,358.75,credit,B7,Transaction Description
T344090,A53199,2024-01-31,710.85,debit,B9,Transaction Description
T124710,A66408,2024-01-31,542.25,credit,B9,Transaction Description
T599320,A43513,2024-01-31,926.38,debit,B8,Transaction Description
T425426,A95922,2024-01-31,764.86,credit,B7,Transaction Description
T623601,A66517,2024-01-31,571.8,debit,B3,Transaction Description
T805175,A61341,2024-01-31,357.27,credit,B3,Transaction Description
T160931,A55162,2024-01-31,267.92,debit,B9,Transaction Description
T644965,A89111,2024-01-31,659.17,credit,B10,Transaction Description
T997423,A96309,2024-01-31,591.51,debit,B8,Transaction Description
T190267,A33545,2024-01-31,217.77,credit,B3,Transaction Description
T694936,A69423,2024-01-31,248.04,debit,B1,Transaction Description
T198278,A71938,2024-01-31,191.85,credit,B6,Transaction Description
T520725,A27630,2024-01-31,697.2,credit,B8,Transaction Description
